	CROSSOVER	PR_CROSS	MutationMethode	PR_MUT	ELITIST	Average_path_length	Average_time
275	x_orderx	0.7	inversion	0.3	0.1	874.8016098869239	5.812755050000001
185	xpmx	0.65	inversion	0.3	0.1	874.8016098869239	5.94056619
230	xpmx	0.15	inversion	0.3	0.1	874.8016098869239	5.814674800000001
140	xpmx	0.7	inversion	0.3	0.1	874.8016098869239	5.816835020000001
50	xalt_edges	0.65	inversion	0.3	0.1	874.8016098869239	5.81643073
95	xalt_edges	0.15	inversion	0.3	0.1	874.8016098869239	5.816175769999999
365	x_orderx	0.15	inversion	0.3	0.1	874.8016098869239	5.83855975
5	xalt_edges	0.7	inversion	0.3	0.1	874.8016098869239	5.81264493
320	x_orderx	0.65	inversion	0.3	0.1	874.8016098869239	5.81416668
4	xalt_edges	0.7	inversion	0.3	0.05	881.7726321863074	6.280947339999999
