	CROSSOVER	PR_CROSS	MutationMethode	PR_MUT	ELITIST	Average_path_length	Average_time
0	xalt_edges	0.7	inversion	0.15	0.01	963.1774499338137	6.343969830000001
1	xalt_edges	0.7	inversion	0.15	0.05	924.2841015323245	5.962054009999999
2	xalt_edges	0.7	inversion	0.15	0.1	949.2326347077848	5.47326008
3	xalt_edges	0.7	inversion	0.3	0.01	921.833411882934	6.6780091200000005
4	xalt_edges	0.7	inversion	0.3	0.05	881.7726321863074	6.280947339999999
5	xalt_edges	0.7	inversion	0.3	0.1	874.8016098869239	5.81264493
6	xalt_edges	0.7	inversion	0.7	0.01	1036.2088111869666	7.696007399999999
7	xalt_edges	0.7	inversion	0.7	0.05	908.8531997946186	7.26088673
8	xalt_edges	0.7	inversion	0.7	0.1	899.2970414878789	6.6847681900000016
9	xalt_edges	0.7	reciprocal_exchange	0.15	0.01	1135.702263587987	6.21849295
10	xalt_edges	0.7	reciprocal_exchange	0.15	0.05	1132.089310447296	5.838474700000001
11	xalt_edges	0.7	reciprocal_exchange	0.15	0.1	1126.740227166186	5.370891309999999
12	xalt_edges	0.7	reciprocal_exchange	0.3	0.01	1108.486123737581	6.464219960000001
13	xalt_edges	0.7	reciprocal_exchange	0.3	0.05	1085.739248050738	6.08251265
14	xalt_edges	0.7	reciprocal_exchange	0.3	0.1	1098.644249648799	5.612465329999999
15	xalt_edges	0.7	reciprocal_exchange	0.7	0.01	1220.787050516942	7.141530780000001
16	xalt_edges	0.7	reciprocal_exchange	0.7	0.05	1131.71347929801	6.72374794
17	xalt_edges	0.7	reciprocal_exchange	0.7	0.1	1115.763421615005	6.23931003
18	xalt_edges	0.7	scramble	0.15	0.01	1143.9272973729421	6.36172311
19	xalt_edges	0.7	scramble	0.15	0.05	1110.329936531559	5.991919189999999
20	xalt_edges	0.7	scramble	0.15	0.1	1138.574209597576	5.404835029999999
21	xalt_edges	0.7	scramble	0.3	0.01	1108.361272772982	6.8007018000000015
22	xalt_edges	0.7	scramble	0.3	0.05	1103.4447013339911	6.37016218
23	xalt_edges	0.7	scramble	0.3	0.1	1078.370136698477	5.92725455
24	xalt_edges	0.7	scramble	0.7	0.01	1299.1132957558327	7.94570437
25	xalt_edges	0.7	scramble	0.7	0.05	1129.896333413668	7.497851970000001
26	xalt_edges	0.7	scramble	0.7	0.1	1111.311752583992	6.94032399
27	xalt_edges	0.7	insert	0.15	0.01	1129.985875802101	6.2745279400000005
28	xalt_edges	0.7	insert	0.15	0.05	1135.577922240875	5.97520988
29	xalt_edges	0.7	insert	0.15	0.1	1126.1484216952558	5.427353180000001
30	xalt_edges	0.7	insert	0.3	0.01	1117.60124889416	6.62858439
31	xalt_edges	0.7	insert	0.3	0.05	1095.555781065482	6.2383849
32	xalt_edges	0.7	insert	0.3	0.1	1077.7344793170369	5.763232319999999
33	xalt_edges	0.7	insert	0.7	0.01	1203.59425487221	7.55129968
34	xalt_edges	0.7	insert	0.7	0.05	1126.009187717636	7.13704697
35	xalt_edges	0.7	insert	0.7	0.1	1087.0090145918573	6.57819746
36	xalt_edges	0.7	swapping	0.15	0.01	1125.1706569283651	6.17183892
37	xalt_edges	0.7	swapping	0.15	0.05	1113.712469660827	5.67217108
38	xalt_edges	0.7	swapping	0.15	0.1	1123.730543677449	5.3467774299999995
39	xalt_edges	0.7	swapping	0.3	0.01	1105.149753366812	6.364148699999999
40	xalt_edges	0.7	swapping	0.3	0.05	1085.1390597737961	5.97998438
41	xalt_edges	0.7	swapping	0.3	0.1	1100.360963105847	5.544102679999999
42	xalt_edges	0.7	swapping	0.7	0.01	1223.7828363357942	6.949418330000002
43	xalt_edges	0.7	swapping	0.7	0.05	1132.335609798444	6.543285039999999
44	xalt_edges	0.7	swapping	0.7	0.1	1103.4198060367312	6.072753840000002
45	xalt_edges	0.65	inversion	0.15	0.01	963.1774499338137	6.29379871
46	xalt_edges	0.65	inversion	0.15	0.05	924.2841015323245	5.9329217
47	xalt_edges	0.65	inversion	0.15	0.1	949.2326347077848	5.480786740000001
48	xalt_edges	0.65	inversion	0.3	0.01	921.833411882934	6.7081005000000005
49	xalt_edges	0.65	inversion	0.3	0.05	881.7726321863074	6.29062
50	xalt_edges	0.65	inversion	0.3	0.1	874.8016098869239	5.81643073
51	xalt_edges	0.65	inversion	0.7	0.01	1036.2088111869666	7.69866998
52	xalt_edges	0.65	inversion	0.7	0.05	908.8531997946186	7.22947949
53	xalt_edges	0.65	inversion	0.7	0.1	899.2970414878789	6.683577939999999
54	xalt_edges	0.65	reciprocal_exchange	0.15	0.01	1135.702263587987	6.21110794
55	xalt_edges	0.65	reciprocal_exchange	0.15	0.05	1132.089310447296	5.827598209999999
56	xalt_edges	0.65	reciprocal_exchange	0.15	0.1	1126.740227166186	5.3738367799999995
57	xalt_edges	0.65	reciprocal_exchange	0.3	0.01	1108.486123737581	6.6678396300000005
58	xalt_edges	0.65	reciprocal_exchange	0.3	0.05	1085.739248050738	6.12582772
59	xalt_edges	0.65	reciprocal_exchange	0.3	0.1	1098.644249648799	5.60450194
60	xalt_edges	0.65	reciprocal_exchange	0.7	0.01	1220.787050516942	7.14940641
61	xalt_edges	0.65	reciprocal_exchange	0.7	0.05	1131.71347929801	6.709540630000001
62	xalt_edges	0.65	reciprocal_exchange	0.7	0.1	1115.763421615005	6.31284507
63	xalt_edges	0.65	scramble	0.15	0.01	1143.9272973729421	6.357156910000001
64	xalt_edges	0.65	scramble	0.15	0.05	1110.329936531559	5.975463959999999
65	xalt_edges	0.65	scramble	0.15	0.1	1138.574209597576	5.401537299999999
66	xalt_edges	0.65	scramble	0.3	0.01	1108.361272772982	6.798232920000001
67	xalt_edges	0.65	scramble	0.3	0.05	1103.4447013339911	6.3838496199999994
68	xalt_edges	0.65	scramble	0.3	0.1	1078.370136698477	5.915524960000001
69	xalt_edges	0.65	scramble	0.7	0.01	1299.1132957558327	7.95656517
70	xalt_edges	0.65	scramble	0.7	0.05	1129.896333413668	7.483496299999999
71	xalt_edges	0.65	scramble	0.7	0.1	1111.311752583992	6.93930497
72	xalt_edges	0.65	insert	0.15	0.01	1129.985875802101	6.27502858
73	xalt_edges	0.65	insert	0.15	0.05	1135.577922240875	5.8819278100000005
74	xalt_edges	0.65	insert	0.15	0.1	1126.1484216952558	5.4481123600000005
75	xalt_edges	0.65	insert	0.3	0.01	1117.60124889416	6.63765903
76	xalt_edges	0.65	insert	0.3	0.05	1095.555781065482	6.247837570000001
77	xalt_edges	0.65	insert	0.3	0.1	1077.7344793170369	5.764432439999999
78	xalt_edges	0.65	insert	0.7	0.01	1203.59425487221	7.54600733
79	xalt_edges	0.65	insert	0.7	0.05	1126.009187717636	7.094648819999999
80	xalt_edges	0.65	insert	0.7	0.1	1087.0090145918573	6.5737321500000006
81	xalt_edges	0.65	swapping	0.15	0.01	1125.1706569283651	6.16794332
82	xalt_edges	0.65	swapping	0.15	0.05	1113.712469660827	5.68596531
83	xalt_edges	0.65	swapping	0.15	0.1	1123.730543677449	5.32461354
84	xalt_edges	0.65	swapping	0.3	0.01	1105.149753366812	6.3673480399999995
85	xalt_edges	0.65	swapping	0.3	0.05	1085.1390597737961	5.98979734
86	xalt_edges	0.65	swapping	0.3	0.1	1100.360963105847	5.5359424399999995
87	xalt_edges	0.65	swapping	0.7	0.01	1223.7828363357942	6.951163889999999
88	xalt_edges	0.65	swapping	0.7	0.05	1132.335609798444	6.5340236
89	xalt_edges	0.65	swapping	0.7	0.1	1103.4198060367312	6.07767154
90	xalt_edges	0.15	inversion	0.15	0.01	963.1774499338137	6.298322740000001
91	xalt_edges	0.15	inversion	0.15	0.05	924.2841015323245	5.922220150000001
92	xalt_edges	0.15	inversion	0.15	0.1	949.2326347077848	5.49235864
93	xalt_edges	0.15	inversion	0.3	0.01	921.833411882934	6.703787860000001
94	xalt_edges	0.15	inversion	0.3	0.05	881.7726321863074	6.29002378
95	xalt_edges	0.15	inversion	0.3	0.1	874.8016098869239	5.816175769999999
96	xalt_edges	0.15	inversion	0.7	0.01	1036.2088111869666	7.69418331
97	xalt_edges	0.15	inversion	0.7	0.05	908.8531997946186	7.228701149999999
98	xalt_edges	0.15	inversion	0.7	0.1	899.2970414878789	6.720605689999999
99	xalt_edges	0.15	reciprocal_exchange	0.15	0.01	1135.702263587987	6.20793122
100	xalt_edges	0.15	reciprocal_exchange	0.15	0.05	1132.089310447296	5.816339439999999
101	xalt_edges	0.15	reciprocal_exchange	0.15	0.1	1126.740227166186	5.4089504
102	xalt_edges	0.15	reciprocal_exchange	0.3	0.01	1108.486123737581	6.476769539999999
103	xalt_edges	0.15	reciprocal_exchange	0.3	0.05	1085.739248050738	6.0954842000000005
104	xalt_edges	0.15	reciprocal_exchange	0.3	0.1	1098.644249648799	5.61085102
105	xalt_edges	0.15	reciprocal_exchange	0.7	0.01	1220.787050516942	7.141775409999999
106	xalt_edges	0.15	reciprocal_exchange	0.7	0.05	1131.71347929801	6.71720116
107	xalt_edges	0.15	reciprocal_exchange	0.7	0.1	1115.763421615005	6.23827659
108	xalt_edges	0.15	scramble	0.15	0.01	1143.9272973729421	6.35106592
109	xalt_edges	0.15	scramble	0.15	0.05	1110.329936531559	5.990160470000001
110	xalt_edges	0.15	scramble	0.15	0.1	1138.574209597576	5.39805015
111	xalt_edges	0.15	scramble	0.3	0.01	1108.361272772982	6.8226002800000005
112	xalt_edges	0.15	scramble	0.3	0.05	1103.4447013339911	6.39903742
113	xalt_edges	0.15	scramble	0.3	0.1	1078.370136698477	5.92884764
114	xalt_edges	0.15	scramble	0.7	0.01	1299.1132957558327	7.95062263
115	xalt_edges	0.15	scramble	0.7	0.05	1129.896333413668	7.480730630000001
116	xalt_edges	0.15	scramble	0.7	0.1	1111.311752583992	6.930491450000001
117	xalt_edges	0.15	insert	0.15	0.01	1129.985875802101	6.2838443
118	xalt_edges	0.15	insert	0.15	0.05	1135.577922240875	5.908317729999999
119	xalt_edges	0.15	insert	0.15	0.1	1126.1484216952558	5.4589013600000005
120	xalt_edges	0.15	insert	0.3	0.01	1117.60124889416	6.624595019999999
121	xalt_edges	0.15	insert	0.3	0.05	1095.555781065482	6.22967844
122	xalt_edges	0.15	insert	0.3	0.1	1077.7344793170369	5.9785153399999995
123	xalt_edges	0.15	insert	0.7	0.01	1203.59425487221	7.5568956
124	xalt_edges	0.15	insert	0.7	0.05	1126.009187717636	7.1149136199999985
125	xalt_edges	0.15	insert	0.7	0.1	1087.0090145918573	6.57581753
126	xalt_edges	0.15	swapping	0.15	0.01	1125.1706569283651	6.14790494
127	xalt_edges	0.15	swapping	0.15	0.05	1113.712469660827	5.660324359999999
128	xalt_edges	0.15	swapping	0.15	0.1	1123.730543677449	5.32613797
129	xalt_edges	0.15	swapping	0.3	0.01	1105.149753366812	6.3654220100000005
130	xalt_edges	0.15	swapping	0.3	0.05	1085.1390597737961	5.98468964
131	xalt_edges	0.15	swapping	0.3	0.1	1100.360963105847	5.53880657
132	xalt_edges	0.15	swapping	0.7	0.01	1223.7828363357942	6.938908929999999
133	xalt_edges	0.15	swapping	0.7	0.05	1132.335609798444	6.527850840000001
134	xalt_edges	0.15	swapping	0.7	0.1	1103.4198060367312	6.063478099999999
135	xpmx	0.7	inversion	0.15	0.01	963.1774499338137	6.29835699
136	xpmx	0.7	inversion	0.15	0.05	924.2841015323245	5.938710850000001
137	xpmx	0.7	inversion	0.15	0.1	949.2326347077848	5.467750349999999
138	xpmx	0.7	inversion	0.3	0.01	921.833411882934	6.702351520000001
139	xpmx	0.7	inversion	0.3	0.05	881.7726321863074	6.296288250000001
140	xpmx	0.7	inversion	0.3	0.1	874.8016098869239	5.816835020000001
141	xpmx	0.7	inversion	0.7	0.01	1036.2088111869666	7.6928088599999995
142	xpmx	0.7	inversion	0.7	0.05	908.8531997946186	7.234759919999999
143	xpmx	0.7	inversion	0.7	0.1	899.2970414878789	6.69597438
144	xpmx	0.7	reciprocal_exchange	0.15	0.01	1135.702263587987	6.21707271
145	xpmx	0.7	reciprocal_exchange	0.15	0.05	1132.089310447296	5.828489719999999
146	xpmx	0.7	reciprocal_exchange	0.15	0.1	1126.740227166186	5.36751647
147	xpmx	0.7	reciprocal_exchange	0.3	0.01	1108.486123737581	6.474861599999999
148	xpmx	0.7	reciprocal_exchange	0.3	0.05	1085.739248050738	6.089106300000001
149	xpmx	0.7	reciprocal_exchange	0.3	0.1	1098.644249648799	5.6187959
150	xpmx	0.7	reciprocal_exchange	0.7	0.01	1220.787050516942	7.15646337
151	xpmx	0.7	reciprocal_exchange	0.7	0.05	1131.71347929801	6.718897030000001
152	xpmx	0.7	reciprocal_exchange	0.7	0.1	1115.763421615005	6.23184264
153	xpmx	0.7	scramble	0.15	0.01	1143.9272973729421	6.365713509999999
154	xpmx	0.7	scramble	0.15	0.05	1110.329936531559	6.045831570000001
155	xpmx	0.7	scramble	0.15	0.1	1138.574209597576	5.41152333
156	xpmx	0.7	scramble	0.3	0.01	1108.361272772982	6.798359209999998
157	xpmx	0.7	scramble	0.3	0.05	1103.4447013339911	6.381771049999999
158	xpmx	0.7	scramble	0.3	0.1	1078.370136698477	5.923310799999999
159	xpmx	0.7	scramble	0.7	0.01	1299.1132957558327	7.97607392
160	xpmx	0.7	scramble	0.7	0.05	1129.896333413668	7.48731628
161	xpmx	0.7	scramble	0.7	0.1	1111.311752583992	6.936498759999999
162	xpmx	0.7	insert	0.15	0.01	1129.985875802101	6.27209423
163	xpmx	0.7	insert	0.15	0.05	1135.577922240875	5.9000453
164	xpmx	0.7	insert	0.15	0.1	1126.1484216952558	5.44376733
165	xpmx	0.7	insert	0.3	0.01	1117.60124889416	6.64259841
166	xpmx	0.7	insert	0.3	0.05	1095.555781065482	6.24998858
167	xpmx	0.7	insert	0.3	0.1	1077.7344793170369	5.780010000000001
168	xpmx	0.7	insert	0.7	0.01	1203.59425487221	7.551253389999999
169	xpmx	0.7	insert	0.7	0.05	1126.009187717636	7.104592240000001
170	xpmx	0.7	insert	0.7	0.1	1087.0090145918573	6.577218819999999
171	xpmx	0.7	swapping	0.15	0.01	1125.1706569283651	6.180225480000001
172	xpmx	0.7	swapping	0.15	0.05	1113.712469660827	5.687017620000001
173	xpmx	0.7	swapping	0.15	0.1	1123.730543677449	5.342605690000001
174	xpmx	0.7	swapping	0.3	0.01	1105.149753366812	6.3873646
175	xpmx	0.7	swapping	0.3	0.05	1085.1390597737961	5.988535990000001
176	xpmx	0.7	swapping	0.3	0.1	1100.360963105847	5.549936980000001
177	xpmx	0.7	swapping	0.7	0.01	1223.7828363357942	6.94905131
178	xpmx	0.7	swapping	0.7	0.05	1132.335609798444	6.523058069999999
179	xpmx	0.7	swapping	0.7	0.1	1103.4198060367312	6.066539280000001
