NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.1231763,2368.88234625547,30
2,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0578511,2368.88234625547,30
3,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0666955,2368.88234625547,30
4,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0664819,2368.88234625547,30
5,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0578355,2368.88234625547,30
6,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0495075,2368.88234625547,30
7,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0569089,2368.88234625547,30
8,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0487018,2368.88234625547,30
9,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0543909,2368.88234625547,30
10,xalt_edges,32,30,0,0.05,0.05,4,1,1,1,1,0.0498971,2368.88234625547,30
1,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.0961939,1901.86874666315,30
2,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.1183709,1901.86874666315,30
3,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.1492812,1901.86874666315,30
4,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.1076107,1901.86874666315,30
5,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.1023811,1901.86874666315,30
6,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.0910051,1901.86874666315,30
7,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.1001476,1901.86874666315,30
8,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.1360188,1901.86874666315,30
9,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.1021363,1901.86874666315,30
10,xalt_edges,64,30,0,0.05,0.05,4,1,1,1,1,0.1131864,1901.86874666315,30
1,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1358635,1989.6105591815,30
2,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1339992,1989.6105591815,30
3,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1199489,1989.6105591815,30
4,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1174627,1989.6105591815,30
5,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1167049,1989.6105591815,30
6,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1252836,1989.6105591815,30
7,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1274024,1989.6105591815,30
8,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1183692,1989.6105591815,30
9,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1187545,1989.6105591815,30
10,xalt_edges,96,30,0,0.05,0.05,4,1,1,1,1,0.1192745,1989.6105591815,30
1,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1569389,1896.45432601557,30
2,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.181563,1896.45432601557,30
3,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1718387,1896.45432601557,30
4,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1873131,1896.45432601557,30
5,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1739093,1896.45432601557,30
6,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1569715,1896.45432601557,30
7,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1646032,1896.45432601557,30
8,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1602184,1896.45432601557,30
9,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1675686,1896.45432601557,30
10,xalt_edges,128,30,0,0.05,0.05,4,1,1,1,1,0.1620261,1896.45432601557,30
1,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0589443,2339.77514789269,40
2,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0580811,2339.77514789269,40
3,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0598303,2339.77514789269,40
4,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0589574,2339.77514789269,40
5,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0602988,2339.77514789269,40
6,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0605485,2339.77514789269,40
7,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0605554,2339.77514789269,40
8,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0623261,2339.77514789269,40
9,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.06146,2339.77514789269,40
10,xalt_edges,32,40,0,0.05,0.05,4,1,1,1,1,0.0608956,2339.77514789269,40
1,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1275704,1866.13547484572,40
2,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1227375,1866.13547484572,40
3,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1208082,1866.13547484572,40
4,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1225924,1866.13547484572,40
5,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1191151,1866.13547484572,40
6,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1200608,1866.13547484572,40
7,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1216217,1866.13547484572,40
8,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.119167,1866.13547484572,40
9,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1175086,1866.13547484572,40
10,xalt_edges,64,40,0,0.05,0.05,4,1,1,1,1,0.1278435,1866.13547484572,40
1,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.156666,1910.86781493659,40
2,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.1605166,1910.86781493659,40
3,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.1580526,1910.86781493659,40
4,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.2003487,1910.86781493659,40
5,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.1612268,1910.86781493659,40
6,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.1675141,1910.86781493659,40
7,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.1566372,1910.86781493659,40
8,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.1582907,1910.86781493659,40
9,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.1643886,1910.86781493659,40
10,xalt_edges,96,40,0,0.05,0.05,4,1,1,1,1,0.2032068,1910.86781493659,40
1,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.2187522,1831.60823254666,40
2,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.2045791,1831.60823254666,40
3,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.2151268,1831.60823254666,40
4,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.2102768,1831.60823254666,40
5,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.2329461,1831.60823254666,40
6,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.2185587,1831.60823254666,40
7,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.3470961,1831.60823254666,40
8,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.3341131,1831.60823254666,40
9,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.2951835,1831.60823254666,40
10,xalt_edges,128,40,0,0.05,0.05,4,1,1,1,1,0.2169055,1831.60823254666,40
1,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0811743,0,53
2,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0794076,0,53
3,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0756689,0,53
4,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0774172,0,53
5,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0765556,0,53
6,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0920467,0,53
7,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0759623,0,53
8,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0765836,0,53
9,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0845099,0,53
10,xalt_edges,32,60,0,0.05,0.05,4,1,1,1,1,0.0751774,0,53
1,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.1728918,1780.61955651479,60
2,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.1687293,1780.61955651479,60
3,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.1679274,1780.61955651479,60
4,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.1714348,1780.61955651479,60
5,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.168567,1780.61955651479,60
6,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.1857058,1780.61955651479,60
7,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.1691967,1780.61955651479,60
8,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.1673513,1780.61955651479,60
9,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.1654204,1780.61955651479,60
10,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.171727,1780.61955651479,60
1,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2390701,1821.55424779251,60
2,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.235763,1821.55424779251,60
3,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.23193,1821.55424779251,60
4,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2393407,1821.55424779251,60
5,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2421167,1821.55424779251,60
6,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2413697,1821.55424779251,60
7,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2420638,1821.55424779251,60
8,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2335754,1821.55424779251,60
9,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2344876,1821.55424779251,60
10,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2427262,1821.55424779251,60
1,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3035211,1696.04149796642,60
2,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.311715,1696.04149796642,60
3,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3105373,1696.04149796642,60
4,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.306827,1696.04149796642,60
5,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3038993,1696.04149796642,60
