NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,0.1943845,2168.66399280309,11
2,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,0.2381286,1978.85942341658,13
3,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,0.1351287,2137.32503458655,11
4,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,0.1286984,1974.59730364717,11
5,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,3.9796262,782.523398146672,500
6,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,4.1262688,726.110242701677,500
7,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,0.1656785,1746.00841261094,19
8,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,0.1236066,1955.79728795595,13
9,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,0.1683221,1735.87099885064,19
10,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,1,1,0.1808992,1631.09283667977,21
1,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,3.994883,706.785416472866,500
2,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,4.0244721,724.998957183089,500
3,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,4.0731806,723.55360318422,500
4,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,4.0292729,718.745939661955,500
5,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,3.9937861,702.615080431033,500
6,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,3.9916877,761.004190209117,500
7,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,4.019464,701.911226435587,500
8,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,4.1306205,666.728680351366,500
9,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,4.0447784,729.970035342253,500
10,xalt_edges,128,500,0.05,0.05,0.95,2,0.5,100,2,1,4.049351,692.481893968882,500
