NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
1,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.3073508,873.081888667009,300
2,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,38.6048254,910.201828250065,300
3,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.739959,756.105441780886,300
4,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.6889892,833.282319458721,300
5,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.3215616,869.623893186813,300
6,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.229516,833.8257056264,300
7,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.177455,871.051416270817,300
8,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2294609,839.156501030728,300
9,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2848682,818.708245273982,300
10,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.1703111,860.429355330577,300
1,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.3000477,873.081888667009,300
2,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.4717384,910.201828250065,300
3,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2327162,756.105441780886,300
4,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.19692,833.282319458721,300
5,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2137525,869.623893186813,300
6,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2369596,833.8257056264,300
7,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2397495,871.051416270817,300
8,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2568249,839.156501030728,300
9,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2990018,818.708245273982,300
10,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2167645,860.429355330577,300
1,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2814496,873.081888667009,300
2,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2406102,910.201828250065,300
3,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,5.0878888,756.105441780886,300
4,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,6.2617782,833.282319458721,300
5,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,5.3740194,869.623893186813,300
6,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,5.8925324,833.8257056264,300
7,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.8301848,871.051416270817,300
8,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.7539955,839.156501030728,300
9,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.2492442,818.708245273982,300
10,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,1,inversion,4.834321,860.429355330577,300
1,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.2240068,839.710534598145,300
2,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.0188211,758.346424853902,300
3,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,5.2939008,824.639061663472,300
4,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.6305351,811.798927606754,300
5,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.4268433,816.698031801108,300
6,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.5057327,810.221395113061,300
7,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.369207,856.384168367941,300
8,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.4083831,783.563933536358,300
9,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.7156203,811.148607173011,300
10,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.9704315,842.230565233208,300
1,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.862741,839.710534598145,300
2,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.8646443,758.346424853902,300
3,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.6496386,824.639061663472,300
4,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.4986429,811.798927606754,300
5,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.0618384,816.698031801108,300
6,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.5493119,810.221395113061,300
7,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,5.2281277,856.384168367941,300
8,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,5.8830861,783.563933536358,300
9,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,5.0426722,811.148607173011,300
10,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.4584608,842.230565233208,300
1,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.4511243,839.710534598145,300
2,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.436774,758.346424853902,300
3,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.3396135,824.639061663472,300
4,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.3251599,811.798927606754,300
5,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.3728475,816.698031801108,300
6,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.3309525,810.221395113061,300
7,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.3733547,856.384168367941,300
8,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.3693997,783.563933536358,300
9,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.3543094,811.148607173011,300
10,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,1,inversion,4.383744,842.230565233208,300
1,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2111469,840.682769053624,300
2,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.198731,823.225226399773,300
3,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.1954364,861.146441403232,300
4,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2364076,801.280855382183,300
5,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2161634,878.587803548946,300
6,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.1686973,786.750814331109,300
7,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.1950625,860.832919845918,300
8,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.1805832,776.57875254083,300
9,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2210552,808.60561405793,300
10,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2241053,852.733108549698,300
1,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2340616,840.682769053624,300
2,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2945283,823.225226399773,300
3,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.216927,861.146441403232,300
4,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.1990455,801.280855382183,300
5,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2133376,878.587803548946,300
6,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.2587141,786.750814331109,300
7,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,1,inversion,4.1654011,860.832919845918,300
