NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
1,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,17.0370155,1632.89812546847,300
2,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,7.2516049,1676.98962145163,300
3,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,7.1887694,1565.987632656,300
4,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,7.8538145,1735.87054321571,300
5,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.9327295,1705.30517252436,300
6,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,7.9089478,1645.19678204205,300
7,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,8.3720481,1679.98334639095,300
8,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,9.5693674,1751.97198954011,300
9,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,7.5445282,1714.81209566779,300
10,xalt_edges,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.4959375,1655.7093283732,300
1,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.357577,1632.89812546847,300
2,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.3096113,1676.98962145163,300
3,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.3336121,1565.987632656,300
4,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2982428,1735.87054321571,300
5,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2431201,1705.30517252436,300
6,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.1935385,1645.19678204205,300
7,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2081989,1679.98334639095,300
8,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.1964001,1751.97198954011,300
9,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.3113943,1714.81209566779,300
10,xpmx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.20374,1655.7093283732,300
1,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2640632,1632.89812546847,300
2,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2231057,1676.98962145163,300
3,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2348391,1565.987632656,300
4,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2610076,1735.87054321571,300
5,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.1869418,1705.30517252436,300
6,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2017961,1645.19678204205,300
7,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.1976596,1679.98334639095,300
8,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2145309,1751.97198954011,300
9,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2269391,1714.81209566779,300
10,x_orderx,300,300,0.01,0.7,0.15,4,0.5,70,1,2,inversion,6.2028886,1655.7093283732,300
1,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8655896,1593.95066271458,300
2,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.848534,1496.91600662724,300
3,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8654749,1569.41759432478,300
4,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8555122,1627.8945810222,300
5,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.0522822,1653.60323480606,300
6,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8514998,1610.32504348657,300
7,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8788134,1596.71764039765,300
8,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,8.1606282,1565.38818886313,300
9,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,8.9866552,1613.62154967368,300
