NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
1,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.1413225,1593.95066271458,300
2,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8538643,1496.91600662724,300
3,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8673743,1569.41759432478,300
4,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.3531434,1627.8945810222,300
5,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8655876,1653.60323480606,300
6,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8532772,1610.32504348657,300
7,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8950483,1596.71764039765,300
8,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.8613677,1565.38818886313,300
9,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,8.3641162,1613.62154967368,300
10,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.5430007,1652.85415457329,300
1,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.6862575,1593.95066271458,300
2,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.357088,1496.91600662724,300
3,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.3585023,1569.41759432478,300
4,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.6047471,1627.8945810222,300
5,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.2148061,1653.60323480606,300
6,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.9188844,1610.32504348657,300
7,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.9215578,1596.71764039765,300
8,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.9093896,1565.38818886313,300
9,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.9101896,1613.62154967368,300
10,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.9666964,1652.85415457329,300
1,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.9532234,1593.95066271458,300
2,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.7957467,1496.91600662724,300
3,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,7.1956188,1569.41759432478,300
4,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,10.6592869,1627.8945810222,300
5,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.6745919,1653.60323480606,300
6,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,7.2017868,1610.32504348657,300
7,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,7.0606119,1596.71764039765,300
8,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,8.1214486,1565.38818886313,300
9,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,9.3726803,1613.62154967368,300
