NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.7875132,26540.8254898476,100
2,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.3762903,27535.3996117584,100
3,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.3220234,29648.8226737869,100
4,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.2286768,26972.6082018175,100
5,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.195677,26176.7026496365,100
6,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.1722835,27698.7780893781,100
7,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.122459,26496.4855268955,100
8,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.1901188,26156.910143658,100
9,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.369736,26915.3470479986,100
10,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.2384814,26215.8377617303,100
