NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,SelectionMethode,Time,ShortestPath,Generations
1,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,321.9750374,3620.84255611495,300
2,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,329.7789,3532.0629312852,300
3,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,347.6395815,3331.53509126782,300
4,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,304.2271876,3826.28341284434,300
5,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,463.6554043,3368.16808588636,300
6,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,490.4294495,3388.71753108015,300
7,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,450.5924739,3316.29838833118,300
8,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,436.6063513,3524.58215989476,300
9,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,438.0578963,3320.80318704019,300
10,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,360.1336078,3695.1861416653,300
