NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,SelectionMethode,Time,ShortestPath,Generations
1,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,8.2765201,694.854156728033,300
2,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,7.3244551,675.792963683193,300
3,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,7.2569288,645.151806456861,300
4,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,7.4713186,679.013735724669,300
5,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,7.2053008,670.400427287746,300
6,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,7.0572924,689.936096323659,300
7,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,6.9476841,679.836115456124,300
8,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,7.2457335,670.414094555457,300
9,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,7.0101232,666.864390949253,300
10,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,sus,7.3212771,675.760282747186,300
1,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,15.3504593,647.544028521956,300
2,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,14.7502658,665.534064735122,300
3,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,14.305719,659.536853383565,300
4,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,17.2040159,620.256719029979,300
5,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,15.7314069,642.667645442673,300
6,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,14.4451459,621.759488662502,300
7,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,14.7312974,630.611552235047,300
8,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,15.2555148,647.722350498309,300
9,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,14.8303884,642.400412112904,300
10,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,fps,14.7574283,628.435521356884,300
1,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,9.3287503,638.213456532149,300
2,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,10.0453718,648.32158008806,300
3,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,9.0759548,645.206650889858,300
4,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,9.6782232,633.806411462647,300
5,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,9.8065151,631.794864815287,300
6,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,9.609816,633.251617123318,300
7,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,9.5228708,630.408618438316,300
8,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,11.0538917,643.781758882876,300
9,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,9.9294607,663.134728710877,300
10,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,inversion,tourwithoutrepl,11.3792297,635.93704687927,300
