NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,SurvivalMethode,q,Time,ShortestPath,Generations
1,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,113.5995839,4070.079128922,100
2,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,120.5512856,3856.89307886182,100
3,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,97.4866699,3488.3450913866,100
4,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,110.1736072,3726.75718947095,100
5,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,109.8679962,3920.90886045918,100
6,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,111.4768405,3399.41530041342,100
7,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,90.998594,3857.42099806557,100
8,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,99.2245461,3850.41414621448,100
9,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,101.5432385,3910.08406403011,100
10,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,5,82.2556228,3936.89687441081,100
1,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,93.9275016,4013.42400701064,100
2,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,103.5255308,3586.07845344895,100
3,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,98.8072642,3548.09564157343,100
4,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,100.5187342,4226.31014621861,100
5,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,96.3786157,3708.28563789856,100
6,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,96.405683,4010.15799317329,100
7,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,96.0546271,4065.93803387566,100
8,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,93.5404975,4180.28396290952,100
9,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,111.1853906,3814.50020252832,100
10,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,5,95.7234908,4069.49367866684,100
1,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,10,94.1582882,4070.079128922,100
2,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,10,95.9751113,3856.89307886182,100
3,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,10,95.8867223,3488.3450913866,100
